date,open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
01/10/2019,1.56989E+12,0.00141817,0.00144092,0.00140354,0.00140987,2796380,1.56997E+12,3959.604145,5946,1320506,1872.143891,0
02/10/2019,1.56997E+12,0.00141141,0.00144012,0.00138497,0.00140127,2580630,1.57006E+12,3634.330619,5689,1042487,1470.491057,0
03/10/2019,1.57006E+12,0.00139886,0.00143508,0.00139296,0.00141302,2610370,1.57015E+12,3678.087929,4310,1062986,1502.450812,0
04/10/2019,1.57015E+12,0.00141366,0.00146351,0.0014106,0.0014394,2077996,1.57023E+12,2987.906784,4729,1260639,1814.732152,0
05/10/2019,1.57023E+12,0.00143818,0.00146782,0.00142026,0.00143654,2439568,1.57032E+12,3524.778107,4356,886800,1281.620339,0
06/10/2019,1.57032E+12,0.0014362,0.00150212,0.00143057,0.00150148,2902140,1.57041E+12,4260.462533,6116,1595051,2345.197452,0
07/10/2019,1.57041E+12,0.0015005,0.00158703,0.00149139,0.00153418,5885185,1.57049E+12,9081.355828,12035,2874416,4433.984414,0
08/10/2019,1.57049E+12,0.00153294,0.00155899,0.00151,0.00153594,3196537,1.57058E+12,4887.074554,7106,1268763,1938.8373,0
09/10/2019,1.57058E+12,0.0015343,0.00154128,0.00143376,0.00145603,4636441,1.57067E+12,6938.146178,10166,1961873,2942.112214,0
10/10/2019,1.57067E+12,0.0014589,0.00145993,0.00141048,0.00141415,3209514,1.57075E+12,4595.261721,6934,1477042,2118.548225,0
11/10/2019,1.57075E+12,0.00141342,0.00149324,0.00139676,0.00147991,2753204,1.57084E+12,3969.893477,6922,1595231,2308.800475,0
12/10/2019,1.57084E+12,0.00148021,0.00152557,0.00147233,0.00151451,1608676,1.57092E+12,2407.912735,4962,935592,1402.377723,0
13/10/2019,1.57092E+12,0.00151587,0.00154454,0.00150298,0.00153204,2116436,1.57101E+12,3228.326147,5339,1118829,1706.576103,0
