date;close;volume;quote_asset_volume;num_trades;buy_base_asset_volume;buy_quote_asset_volume
30/9/2019;180.85;580295.3997;100443187.8;175354;305126.8302;52861123.05
1/10/2019;175.66;609819.6083;109337395.1;168492;297560.5413;53359971.7
2/10/2019;180.24;348268.1162;61530973.8;96660;176207.855;31146275.94
3/10/2019;174.69;354756.7848;62001237.48;101114;170712.7983;29848620.57
4/10/2019;175.55;333897.6388;58470302.14;89655;178481.7295;31249755.46
5/10/2019;176.25;278488.6177;48647162.44;90341;148677.3776;25974848.89
6/10/2019;170.1;314932.3963;54241930.13;114662;150053.256;25855508.57
7/10/2019;179.85;496523.4804;87617964.57;159802;269524.7909;47538485.16
8/10/2019;180.6;400832.3783;72432729.98;139925;198505.8506;35879440.88
9/10/2019;192.62;562506.8219;105551736.5;182290;296581.7245;55656345.7
10/10/2019;191.14;436588.5845;83367952.39;150166;226305.5538;43218136.09
11/10/2019;180.72;621693.6313;115872479.8;181427;300995.2989;56109324.69
12/10/2019;179.68;290415.2204;52895345.38;118775;147805.7679;26936589.74
13/10/2019;180.99;247589.2323;45067340.42;113448;124690.6038;22703924.65
14/10/2019;186.72;279732.8461;51494870.28;123915;145915.3813;26856962.92
15/10/2019;180.49;405466.3811;73998014.45;155734;200056.7357;36519397.83
16/10/2019;174.47;347764.9346;61180262.78;151051;174413.5134;30692249.72
17/10/2019;177.16;298795.8198;52578052.94;133295;157556.94;27723058.42
18/10/2019;172.74;319602.4851;55285684.61;139612;152605.7719;26410422.95
19/10/2019;171.79;296918.7303;51269466.04;127763;153698.7147;26548317.23
20/10/2019;175.22;299141.0715;51654250.07;125469;161874.5836;27947258.53
21/10/2019;173.98;270608.5139;47204344.24;128045;140196.6829;24473074.19
22/10/2019;171.2;255429.4162;44176123.21;123180;125146.2133;21648645.78
23/10/2019;162.35;746955.0981;121126428.2;238790;349055.6466;56615958.41
24/10/2019;160.38;387310.8377;62419095.11;159778;201844.9448;32531887.34
25/10/2019;181.5;904832.8606;157496890.7;267143;477807.7234;83125683.12
26/10/2019;179.49;1211737.437;222906937.8;373782;616841.9602;113546883.1
27/10/2019;183.75;724423.4053;132329593.4;262415;385013.1143;70337311.66
28/10/2019;181.72;582179.4455;106933716.7;225343;295482.3063;54279347.88
29/10/2019;190.46;529964.5054;99024969.84;212841;269645.5162;50376777.28
30/10/2019;183.13;537770.4306;99508269.89;194946;264989.4993;48993402.73
31/10/2019;182.18;410969.861;74696032.73;167038;210699.3997;38302299.77
1/11/2019;182.85;331519.7696;60092727.14;154534;176366.3922;31984647.88
2/11/2019;182.91;179864.3974;32936676.71;107048;89462.03413;16385817.1
3/11/2019;181.54;232621.5215;42260620.38;109861;117372.87;21322878.29
4/11/2019;185.71;321175.2913;59357371.31;147624;174839.0825;32310789
5/11/2019;188.68;389668.6472;73036074.78;184562;200247.6851;37563350.67
6/11/2019;191.16;343219.9224;65471595.21;160110;173260.4254;33061667.07
7/11/2019;186.68;309882.0821;58150631.28;152881;155433.4659;29169549.3
8/11/2019;183.74;365029.7503;67305417.41;167904;175732.3179;32419070.56
9/11/2019;184.89;192073.3804;35441967.77;112521;97836.42113;18053843.38
10/11/2019;188.96;274940.5345;51648623.29;133008;139412.4921;26196034.44
11/11/2019;184.98;255579.9343;47746876.46;128079;125060.8693;23366849.5
12/11/2019;187.09;256782.6312;47636043.35;124488;130189.0973;24161522.43
13/11/2019;188.11;197273.84;36936429.94;89631;101255.9882;18965818.25
14/11/2019;184.92;245505.2997;45523714.1;114266;117241.9954;21743851.28
15/11/2019;180;407466.7896;74217250.17;156868;196587.2528;35827558.08
16/11/2019;182.37;172801.5258;31378510.02;89596;86531.48564;15713912.23
17/11/2019;183.82;198892.4372;36509968.7;93753;99564.29673;18284470.26
18/11/2019;178.2;293551.2363;52985734.28;131823;134230.7227;24254035.08
19/11/2019;175.94;275886.6411;48414106.96;125824;138098.3274;24234933
20/11/2019;174.72;216315.9331;38001672.19;106534;105958.6593;18616351.33
21/11/2019;161.01;473895.9299;78641896.23;178521;234632.3703;38906646.5
22/11/2019;149.56;977977.2379;147595324.6;324167;460516.2946;69562234.11
23/11/2019;151.84;369721.0996;55595157.56;177816;188200.0906;28306514.68
24/11/2019;139.96;352319.2156;51503705.18;158774;169721.6243;24806572.11
25/11/2019;145.69;749675.413;106186791.3;238649;369097.7838;52341190.62
26/11/2019;147.47;354023.043;51873405.04;132207;172671.0037;25305494.22
27/11/2019;152.62;564796.4284;83505998.05;192325;290667.8907;43041430.88
28/11/2019;150.72;317714.5633;48324220.62;124573;158837.0033;24159931.81
29/11/2019;154.57;328712.2556;50649319.12;129774;171812.201;26479251.48
30/11/2019;151.37;226863.413;34617912.18;96632;115076.9018;17567465.07
1/12/2019;150.73;344178.1409;51148792.08;125550;172849.4542;25693814.94
2/12/2019;148.65;233839.0973;34768563.47;107070;114158.8752;16974888.54
3/12/2019;147.17;196329.225;29061161.1;87660;100293.6245;14844721.32
4/12/2019;145.38;434430.6238;63840615.24;149648;211404.5126;31089708.19
5/12/2019;148.1;299073.5397;43777241.59;111694;159810.6894;23382484.68
6/12/2019;148.45;220674.6858;32549526.4;90076;118938.0625;17547902.32
7/12/2019;147.14;140471.6859;20799551.35;70677;73739.81386;10919841.58
8/12/2019;150.44;205301.6026;30606289.29;79766;113946.9605;16985317.53
9/12/2019;147.38;243775.9925;36345702.35;92204;113225.9409;16892414.52
10/12/2019;145.56;203215.8494;29746845.43;85725;96914.54456;14189982.05
11/12/2019;143.39;157843.1048;22772651.17;69834;82484.40373;11897456.59
12/12/2019;144.87;261615.3044;37425277.04;99231;127845.6943;18297930.21
13/12/2019;144.8;160695.1856;23203419.96;90805;82252.75063;11879184.41
14/12/2019;141.79;126232.592;18027581.36;76951;59729.52052;8537450.108
15/12/2019;142.46;151189.6588;21495196.82;77131;73238.69048;10413387.06
16/12/2019;132.73;471018.8594;63632055.58;153717;215716.7318;29112565.7
17/12/2019;121.88;563257.36;71709329.27;178977;272414.2978;34693963.88
18/12/2019;132.78;884960.9133;110566290.6;252627;469544.6644;58667753.47
19/12/2019;128.1;420674.8172;53766864.19;154222;204489.6839;26131287.04
20/12/2019;128.19;213897.4673;27266605.48;90922;109755.2877;13990539.68
21/12/2019;126.99;135196.1164;17199278.79;64847;64958.5023;8263790.328
22/12/2019;132.09;253140.7241;32938501.02;91028;130908.0558;17045189.4
23/12/2019;127.8;421600.7566;55501305.92;145867;194731.2118;25638865.79
24/12/2019;127.75;200637.101;25667665.14;87657;100608.4836;12872420.09
25/12/2019;125.09;225004.4909;28144469.16;93397;98563.1461;12331982.2
26/12/2019;125.58;274986.521;34943780.91;103034;128410.0121;16332907.93
27/12/2019;126.29;240012.3745;30020098.89;102142;115839.0022;14500702.35
28/12/2019;128.11;196893.5228;25177121.15;82441;95994.94508;12279856.7
29/12/2019;134.36;316347.2667;41893078.36;115498;154769.9807;20495780.18
30/12/2019;131.59;320347.2196;42636559.38;101293;153829.1806;20482964.27
31/12/2019;129.16;264933.9842;34678632.18;95085;131010.0271;17146486.49
1/1/2020;130.77;144770.522;18952318.53;75888;71847.93883;9407940.161
2/1/2020;127.19;213757.0581;27486853.39;96193;105830.5619;13615064.57
3/1/2020;134.35;413055.189;54139288.22;162310;227899.2553;29863547.62
4/1/2020;134.2;184276.171;24641135.57;95488;85809.67556;11476955.59
5/1/2020;135.37;254120.4534;34593687.6;115106;126786.5206;17260443.97
6/1/2020;144.15;408020.2738;57400544.49;159866;199544.8985;28085835.72
7/1/2020;142.8;447762.1728;63861666.4;188444;224063.8916;31981440.09
8/1/2020;140.72;570465.5776;81184999.73;229912;282151.21;40157986.57
9/1/2020;137.74;366076.0657;50611452.58;152241;185916.3869;25716637.97
10/1/2020;144.84;409403.5951;57377525.56;167313;212395.4049;29753335.79
11/1/2020;142.38;368350.5794;53149360.56;156488;189781.1213;27384707.93
12/1/2020;146.54;229541.8614;33112850.82;110842;112369.4685;16214587.13
13/1/2020;143.58;207996.6187;29888095.37;102544;99446.20096;14292973.2
14/1/2020;165.64;1108476.312;173492006.2;321408;569410.8445;89171070.4
15/1/2020;166.4;721687.8038;119239937.9;251183;350727.9639;57992191.98
16/1/2020;164.21;456170.8672;74038650.83;179108;221669.3963;35985561.13
17/1/2020;169.85;767180.6785;129909265.3;273867;375143.0151;63553850.73
18/1/2020;174.14;688783.1798;119388338.8;240660;350447.0151;60783310.67
19/1/2020;166.79;624681.286;105691368.8;203953;307350.6395;51957534.85
20/1/2020;166.87;358092.8841;59292534.72;130615;181828.1952;30119285.66
21/1/2020;169.49;308007.6353;51615232.57;125609;154669.5631;25916761.62
22/1/2020;168.07;272240.9029;45903134.16;111017;131183.8062;22137225.77
23/1/2020;162.81;373414.3499;60971659.77;150875;179121.3193;29244864.76
24/1/2020;162.54;430013.199;68980724.06;145668;201937.8364;32428806.01
25/1/2020;160.35;219921.652;35196608.31;95448;114622.4459;18335347.16
26/1/2020;167.86;251582.5576;41239031.34;116628;135644.6268;22253874.87
27/1/2020;170.08;365894.8192;61846624.61;157072;183012.1978;30945679.52
28/1/2020;175.64;473433.8961;81649497.49;178990;249252.6153;42996095.56
29/1/2020;173.72;317382.9016;55988230.27;145062;151440.5071;26718161.11
