Date;Price
Feb 09, 2021;1,797.25
Feb 10, 2021;1,728.50
Feb 11, 2021;1,778.00
Feb 12, 2021;1,868.25
Feb 15, 2021;1,815.50
Feb 16, 2021;1,756.50
Feb 17, 2021;1,840.25
Feb 18, 2021;1,943.25
Feb 19, 2021;1,960.75
Feb 21, 2021;1,936.00
Feb 22, 2021;1,774.00
Feb 23, 2021;1,527.25
Feb 24, 2021;1,611.50
Feb 25, 2021;1,576.25
Feb 26, 2021;1,520.66
Mar 01, 2021;1,526.00
Mar 02, 2021;1,479.25
Mar 03, 2021;1,588.50
Mar 04, 2021;1,536.75
Mar 05, 2021;1,541.50
Mar 07, 2021;1,735.00
Mar 08, 2021;1,786.25
Mar 09, 2021;1,846.50
Mar 10, 2021;1,818.00
Mar 11, 2021;1,824.00
Mar 12, 2021;1,751.00
Mar 14, 2021;1,868.25
Mar 15, 2021;1,794.25
Mar 16, 2021;1,795.75
Mar 17, 2021;1,836.50
Mar 18, 2021;1,774.00
Mar 19, 2021;1,831.75
Mar 21, 2021;1,817.50
Mar 22, 2021;1,741.50
Mar 23, 2021;1,706.50
Mar 24, 2021;1,635.50
Mar 25, 2021;1,607.50
Mar 26, 2021;1,641.02
Mar 28, 2021;1,707.00
Mar 29, 2021;1,835.25
Mar 30, 2021;1,876.00
Mar 31, 2021;1,926.25
Apr 01, 2021;2,002.00
Apr 02, 2021;2,002.00
Apr 04, 2021;2,112.50
Apr 05, 2021;2,130.00
Apr 06, 2021;2,135.25
Apr 07, 2021;1,989.25
Apr 08, 2021;2,072.50
Apr 09, 2021;2,092.00
Apr 11, 2021;2,174.12
Apr 12, 2021;2,166.50
Apr 13, 2021;2,327.00
Apr 14, 2021;2,346.75
Apr 15, 2021;2,505.00
Apr 16, 2021;2,449.00
Apr 18, 2021;2,248.50
Apr 19, 2021;2,194.75
Apr 20, 2021;2,333.00
Apr 21, 2021;2,446.25
Apr 22, 2021;2,539.00
Apr 23, 2021;2,373.50
Apr 25, 2021;2,330.00
Apr 26, 2021;2,500.00
Apr 27, 2021;2,635.00
Apr 28, 2021;2,742.50
Apr 29, 2021;2,728.50
Apr 30, 2021;2,795.00
May 02, 2021;2,990.25
May 03, 2021;3,326.00
May 04, 2021;3,438.25
May 05, 2021;3,507.25
May 06, 2021;3,508.25
May 07, 2021;3,543.50
May 09, 2021;3,948.50
May 10, 2021;4,009.00
May 11, 2021;4,091.25
May 12, 2021;4,093.50
May 13, 2021;3,660.75
May 14, 2021;4,068.25
May 16, 2021;3,602.50
May 17, 2021;3,395.50
May 18, 2021;3,410.25
May 19, 2021;2,621.50
May 20, 2021;2,820.75
May 21, 2021;2,370.50
May 23, 2021;2,132.75
May 24, 2021;2,654.50
May 25, 2021;2,514.00
May 26, 2021;2,743.50
May 27, 2021;2,763.25
May 28, 2021;2,565.92
May 30, 2021;2,411.75
May 31, 2021;2,729.50
Jun 01, 2021;2,559.75
Jun 02, 2021;2,772.75
Jun 03, 2021;2,809.00
Jun 04, 2021;2,701.75
Jun 06, 2021;2,730.00
Jun 07, 2021;2,740.75
Jun 08, 2021;2,513.50
Jun 09, 2021;2,572.75
Jun 10, 2021;2,460.50
Jun 11, 2021;2,405.25
Jun 13, 2021;2,511.25
Jun 14, 2021;2,544.00
Jun 15, 2021;2,538.50
Jun 16, 2021;2,419.25
Jun 17, 2021;2,340.75
Jun 18, 2021;2,155.50
Jun 20, 2021;2,250.00
Jun 21, 2021;1,943.25
Jun 22, 2021;1,902.25
Jun 23, 2021;1,920.00
Jun 24, 2021;2,011.25
Jun 25, 2021;1,850.15
Jun 27, 2021;1,989.25
Jun 28, 2021;2,125.25
Jun 29, 2021;2,233.75
Jun 30, 2021;2,258.25
Jul 01, 2021;2,109.00
Jul 02, 2021;2,108.00
Jul 04, 2021;2,349.25
Jul 05, 2021;2,206.12
Jul 06, 2021;2,336.00
Jul 07, 2021;2,376.25
Jul 08, 2021;2,162.25
Jul 09, 2021;2,135.00
Jul 11, 2021;2,138.25
Jul 12, 2021;2,023.00
Jul 13, 2021;1,922.50
Jul 14, 2021;1,979.25
Jul 15, 2021;1,918.50
Jul 16, 2021;1,914.25
Jul 18, 2021;1,894.75
Jul 19, 2021;1,824.00
Jul 20, 2021;1,788.75
Jul 21, 2021;1,940.75
Jul 22, 2021;2,028.75
Jul 23, 2021;2,024.75
Jul 26, 2021;2,372.75
Jul 27, 2021;2,232.75
Jul 28, 2021;2,311.25
Jul 29, 2021;2,313.50
Jul 30, 2021;2,344.28
Aug 01, 2021;2,570.88
Aug 02, 2021;2,610.00
Aug 03, 2021;2,483.50
Aug 04, 2021;2,700.75
Aug 05, 2021;2,808.25
Aug 06, 2021;2,940.25
Aug 08, 2021;3,024.38
Aug 09, 2021;3,157.50
Aug 10, 2021;3,153.00
Aug 11, 2021;3,264.00
Aug 12, 2021;3,060.00
Aug 13, 2021;3,231.00
Aug 15, 2021;3,322.12
Aug 16, 2021;3,183.00
Aug 17, 2021;3,123.50
Aug 18, 2021;3,032.25
Aug 19, 2021;3,154.25
Aug 20, 2021;3,256.25
Aug 22, 2021;3,269.50
Aug 23, 2021;3,311.00
Aug 24, 2021;3,218.75
Aug 25, 2021;3,224.00
Aug 26, 2021;3,105.50
Aug 27, 2021;3,218.92
Aug 29, 2021;3,250.50
Aug 30, 2021;3,367.00
Aug 31, 2021;3,437.25
