date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
1/10/2019,"[1, 12386, 84, 1069, 140, 2705, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 3800, 382, 12387, 67, 384, 385, 13, 3914, 2, 0, 0, 0]","[1, 138, 597, 6503, 8582, 2443, 1998, 371, 4128, 2113, 2449, 1518, 3460, 940, 12388]","[1, 489, 555, 492, 386, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 415, 28, 2806, 911, 105, 1056, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1557, 586, 197, 177, 3402, 597, 140, 25, 1146, 2, 0, 0, 0, 0]","[1, 143, 152, 1453, 27, 952, 84, 492, 2345, 23, 490, 19, 594, 691, 2]","[1, 1214, 788, 84, 82, 267, 148, 83, 2, 0, 0, 0, 0, 0, 0]","[1, 12392, 141, 105, 84, 28, 82, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 4787, 837, 577, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2/10/2019,"[1, 23, 337, 474, 1626, 2320, 1625, 1136, 2479, 577, 1554, 3722, 3050, 1005, 12393]","[1, 1762, 3871, 1857, 2787, 628, 4635, 386, 2, 0, 0, 0, 0, 0, 0]","[1, 131, 3, 157, 159, 160, 161, 3328, 1118, 12396, 31138, 3061, 873, 1458, 90]","[1, 184, 176, 185, 5, 8, 1557, 1737, 126, 637, 77, 2, 0, 0, 0]","[1, 14, 2013, 5, 3252, 2305, 1592, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 491, 140, 1957, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1565, 1648, 352, 296, 3397, 381, 801, 2753, 11132, 1554, 2645, 1324, 1298, 296]","[1, 13, 383, 5515, 197, 119, 11690, 3252, 2, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 915, 918, 7763, 5021, 296, 2, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 121, 184, 176, 185, 20, 5, 67, 821, 418, 12398, 2, 0]"
3/10/2019,"[1, 1260, 850, 851, 195, 2691, 3648, 2826, 5309, 5310, 411, 461, 152, 155, 105]","[1, 366, 2481, 3090, 140, 368, 3831, 1020, 1682, 1154, 660, 1174, 344, 11427, 1682]","[1, 294, 295, 296, 297, 298, 299, 201, 2, 0, 0, 0, 0, 0, 0]","[1, 1012, 130, 1080, 431, 5, 680, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 1046, 1745, 1047, 197, 3259, 5, 731, 2711, 2434, 2, 0, 0]","[1, 3418, 564, 67, 5, 21, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 776, 198, 27, 201, 1277, 568, 2, 0, 0, 0, 0, 0]","[1, 94, 313, 314, 197, 315, 316, 317, 2, 0, 0, 0, 0, 0, 0]","[1, 2030, 1624, 1045, 72, 749, 791, 397, 908, 493, 493, 11588, 670, 411, 81]","[1, 29, 152, 12406, 302, 306, 192, 942, 3, 85, 2, 0, 0, 0, 0]"
4/10/2019,"[1, 60, 93, 235, 28, 12407, 12408, 12409, 8747, 12410, 12411, 12412, 232, 12413, 12414]","[1, 5, 3211, 3475, 471, 2623, 2075, 133, 2368, 352, 2368, 14, 12455, 14, 2]","[1, 12456, 4562, 644, 2789, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 12457, 3299, 12458, 160, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 335, 336, 337, 126, 176, 338, 339, 340, 5, 119, 2, 0, 0, 0]","[1, 3873, 5, 24, 634, 10199, 942, 84, 197, 12459, 2, 0, 0, 0, 0]","[1, 12460, 1713, 1548, 141, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2475, 10893, 12461, 11588, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 366, 9767, 354, 368, 12462, 212, 213, 366, 1686, 674, 12463, 10, 19, 670]","[1, 1123, 2052, 779, 3312, 79, 12466, 296, 11843, 2, 0, 0, 0, 0, 0]"
5/10/2019,"[1, 1247, 2779, 305, 13, 300, 301, 1331, 352, 698, 352, 1512, 3948, 81, 453]","[1, 704, 1351, 92, 5, 57, 9748, 1080, 9407, 2, 0, 0, 0, 0, 0]","[1, 5, 749, 353, 82, 773, 119, 1037, 2705, 2, 0, 0, 0, 0, 0]","[1, 396, 397, 398, 399, 400, 401, 401, 403, 2, 0, 0, 0, 0, 0]","[1, 3, 24, 1495, 58, 435, 2166, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 2486, 198, 55, 3526, 227, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1174, 412, 1414, 5, 58, 727, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 24, 8494, 67, 10, 11, 3958, 182, 2, 0, 0, 0, 0, 0]","[1, 84, 1132, 8000, 1858, 2176, 11289, 295, 2, 0, 0, 0, 0, 0, 0]","[1, 530, 28, 2170, 237, 48, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
6/10/2019,"[1, 471, 1812, 1718, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1682, 84, 140, 1512, 2076, 12467, 2860, 19, 1670, 12075, 344, 1512, 366, 1682]","[1, 631, 12471, 119, 339, 340, 1467, 3912, 2, 0, 0, 0, 0, 0, 0]","[1, 5, 67, 517, 5361, 3263, 1565, 12472, 2, 0, 0, 0, 0, 0, 0]","[1, 5, 411, 498, 220, 221, 499, 132, 500, 2, 0, 0, 0, 0, 0]","[1, 486, 487, 5, 488, 411, 277, 13, 164, 165, 4300, 487, 5530, 1281, 105]","[1, 481, 12473, 4366, 471, 483, 650, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 480, 481, 482, 471, 483, 119, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 471, 4489, 1053, 5065, 596, 80, 634, 1588, 1589, 1264, 14, 564, 384, 2]","[1, 5, 29, 24, 494, 495, 27, 496, 753, 2, 0, 0, 0, 0, 0]"
7/10/2019,"[1, 393, 1603, 296, 779, 30, 1271, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1999, 1618, 2759, 12474, 2605, 308, 1219, 975, 162, 79, 10149, 1618, 2632, 990]","[1, 115, 336, 599, 600, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2906, 3645, 48, 80, 820, 413, 736, 83, 1356, 619, 84, 1894, 1096, 2174]","[1, 5855, 4414, 368, 12498, 5355, 12499, 7297, 42, 706, 1643, 162, 753, 378, 2]","[1, 2471, 11585, 220, 221, 1057, 5, 140, 25, 3968, 471, 2, 0, 0, 0]","[1, 3326, 12500, 2439, 1670, 357, 672, 3326, 527, 268, 169, 2232, 1956, 1398, 2]","[1, 155, 169, 716, 169, 138, 12501, 325, 435, 4477, 12502, 2, 0, 0, 0]","[1, 12503, 137, 138, 198, 473, 1471, 138, 2, 0, 0, 0, 0, 0, 0]","[1, 1569, 703, 186, 381, 336, 6611, 34, 5, 987, 1717, 212, 213, 2, 0]"
8/10/2019,"[1, 7012, 5, 1031, 2949, 3396, 856, 77, 4232, 155, 277, 3396, 5927, 8152, 3838]","[1, 3285, 4619, 2221, 686, 3851, 79, 5, 291, 12504, 1571, 5134, 1684, 3285, 1110]","[1, 29, 152, 67, 649, 483, 650, 480, 481, 5125, 20385, 2911, 461, 4921, 162]","[1, 323, 645, 646, 647, 5, 648, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 23, 94, 640, 83, 28, 641, 133, 1040, 94, 28, 609, 640, 83, 28]","[1, 602, 633, 634, 635, 636, 637, 638, 639, 2, 0, 0, 0, 0, 0]","[1, 6939, 10635, 3460, 1527, 201, 119, 481, 212, 213, 2, 0, 0, 0, 0]","[1, 642, 28, 472, 518, 637, 503, 643, 55, 644, 2, 0, 0, 0, 0]","[1, 1653, 5314, 471, 85, 2822, 88, 4562, 4049, 1829, 162, 1414, 61, 1875, 1397]","[1, 1755, 328, 2948, 119, 5444, 79, 5732, 5, 12507, 3350, 2185, 1118, 6420, 5444]"
9/10/2019,"[1, 5, 618, 614, 91, 12509, 957, 616, 679, 628, 912, 2705, 2, 0, 0]","[1, 5830, 3873, 634, 84, 24, 2181, 197, 2, 0, 0, 0, 0, 0, 0]","[1, 655, 555, 656, 657, 658, 5, 659, 660, 2, 0, 0, 0, 0, 0]","[1, 12510, 203, 471, 12511, 227, 339, 434, 277, 716, 2305, 84, 2, 0, 0]","[1, 23, 692, 657, 693, 694, 695, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1079, 1080, 371, 1797, 84, 406, 517, 2, 0, 0, 0, 0, 0, 0]","[1, 149, 115, 444, 5, 1031, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 945, 1626, 945, 588, 141, 36, 1873, 2038, 2, 0, 0, 0, 0]","[1, 5, 3317, 3855, 84, 19, 1618, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 491, 726, 176, 13, 727, 728, 2, 0, 0, 0, 0, 0, 0, 0]"
10/10/2019,"[1, 948, 141, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 60, 97, 3665, 3361, 1040, 99, 1894, 66, 152, 1010, 1462, 1111, 415, 676]","[1, 5, 57, 562, 6, 366, 12512, 344, 48, 2, 0, 0, 0, 0, 0]","[1, 1557, 1284, 261, 5, 140, 25, 10482, 186, 471, 59, 31, 2, 0, 0]","[1, 779, 296, 635, 780, 86, 753, 13, 609, 296, 507, 4849, 1828, 523, 13]","[1, 159, 386, 1698, 1483, 19, 1512, 386, 66, 748, 4776, 674, 1277, 664, 3885]","[1, 4532, 1998, 1999, 2047, 13, 65, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 779, 94, 10109, 3883, 296, 889, 296, 1364, 748, 3478, 740, 431, 11208, 3883]","[1, 427, 352, 13, 731, 732, 414, 731, 2, 0, 0, 0, 0, 0, 0]","[1, 427, 980, 582, 3, 13, 732, 461, 574, 670, 751, 141, 8807, 8196, 13]"
