date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
1/10/2019,"[1, 60, 61, 62, 63, 64, 65, 66, 67, 60, 63, 62, 68, 69, 70]","[1, 93, 94, 60, 95, 96, 60, 84, 97, 98, 99, 100, 82, 83, 101]","[1, 110, 111, 112, 113, 114, 84, 19, 56, 115, 24, 116, 12421, 117, 118]","[1, 120, 121, 43, 122, 123, 124, 125, 67, 126, 2, 0, 0, 0, 0]","[1, 5, 10, 127, 129, 119, 67, 130, 131, 132, 133, 134, 135, 2, 0]","[1, 136, 137, 138, 139, 140, 141, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 142, 143, 144, 145, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 147, 148, 149, 67, 126, 150, 2, 151, 2, 0, 0, 0, 0, 0]","[1, 29, 152, 153, 154, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 13, 155, 49, 84, 156, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
2/10/2019,"[1, 131, 3, 157, 159, 160, 161, 162, 159, 163, 164, 165, 167, 168, 169]","[1, 183, 184, 176, 185, 5, 186, 67, 40, 187, 188, 189, 2, 0, 0]","[1, 190, 137, 138, 191, 13, 192, 193, 194, 126, 2, 0, 0, 0, 0]","[1, 196, 13, 197, 198, 138, 199, 200, 201, 2, 0, 0, 0, 0, 0]","[1, 202, 203, 204, 205, 28, 206, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 207, 208, 209, 210, 12421, 84, 211, 212, 213, 2, 0, 0, 0, 0]","[1, 29, 152, 121, 184, 176, 185, 20, 5, 67, 214, 2, 0, 0, 0]","[1, 215, 216, 217, 218, 219, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 220, 221, 5, 25, 186, 222, 31, 2, 0, 0, 0, 0, 0, 0]","[1, 2779, 224, 225, 226, 227, 228, 229, 5, 2, 0, 0, 0, 0, 0]"
3/10/2019,"[1, 60, 97, 230, 231, 232, 233, 234, 235, 236, 237, 28, 66, 93, 238]","[1, 258, 259, 260, 261, 5, 214, 177, 262, 263, 43, 264, 265, 266, 267]","[1, 5, 290, 291, 23, 292, 197, 293, 201, 2, 0, 0, 0, 0, 0]","[1, 294, 295, 296, 297, 298, 299, 201, 2, 0, 0, 0, 0, 0, 0]","[1, 2779, 300, 301, 302, 303, 304, 305, 306, 307, 2, 0, 0, 0, 0]","[1, 308, 309, 306, 309, 310, 85, 311, 2, 0, 0, 0, 0, 0, 0]","[1, 94, 313, 314, 197, 315, 316, 317, 2, 0, 0, 0, 0, 0, 0]","[1, 318, 319, 27, 320, 321, 237, 322, 323, 307, 119, 324, 48, 2, 0]","[1, 5, 325, 326, 327, 328, 329, 6, 56, 2, 0, 0, 0, 0, 0]","[1, 331, 13, 332, 333, 334, 141, 137, 138, 2, 0, 0, 0, 0, 0]"
4/10/2019,"[1, 335, 336, 337, 126, 176, 338, 339, 340, 5, 119, 2, 0, 0, 0]","[1, 318, 341, 342, 343, 344, 5, 345, 346, 19, 21, 347, 348, 149, 2]","[1, 138, 349, 94, 350, 351, 352, 138, 353, 5, 13, 2, 0, 0, 0]","[1, 27, 237, 355, 339, 340, 356, 357, 358, 359, 360, 361, 2, 0, 0]","[1, 362, 363, 364, 365, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 366, 367, 261, 140, 368, 369, 370, 2, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 372, 373, 374, 375, 290, 2, 0, 0, 0, 0, 0, 0]","[1, 5, 376, 377, 378, 379, 119, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 176, 381, 34, 382, 383, 384, 385, 386, 2, 0, 0, 0]","[1, 387, 388, 389, 390, 391, 84, 378, 2, 0, 0, 0, 0, 0, 0]"
5/10/2019,"[1, 393, 394, 296, 84, 61, 395, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 396, 397, 398, 399, 400, 401, 401, 403, 405, 144, 406, 407, 408, 409]","[1, 419, 203, 420, 421, 422, 423, 296, 2, 0, 0, 0, 0, 0, 0]","[1, 366, 2779, 424, 84, 119, 426, 5, 427, 428, 429, 2, 0, 0, 0]","[1, 183, 430, 431, 432, 141, 148, 431, 84, 433, 2, 0, 0, 0, 0]","[1, 77, 138, 63, 339, 434, 435, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 436, 28, 437, 438, 439, 440, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 419, 451, 452, 453]","[1, 467, 468, 469, 470, 471, 28, 472, 2, 0, 0, 0, 0, 0, 0]","[1, 473, 474, 30, 475, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6/10/2019,"[1, 84, 476, 477, 478, 411, 479, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 480, 481, 482, 471, 483, 119, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 486, 487, 5, 488, 411, 277, 13, 164, 165, 2, 0, 0, 0, 0]","[1, 489, 490, 491, 492, 493, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 29, 24, 494, 495, 27, 496, 31138, 5, 497, 2, 0, 0, 0]","[1, 5, 411, 498, 220, 221, 499, 132, 500, 2, 0, 0, 0, 0, 0]","[1, 501, 3, 502, 503, 504, 352, 505, 506, 507, 505, 411, 508, 509, 6]","[1, 530, 148, 531, 532, 533, 534, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 535, 536, 537, 181, 538, 84, 539, 540, 2, 0, 0, 0, 0, 0]","[1, 541, 542, 543, 544, 67, 545, 48, 546, 327, 2, 0, 0, 0, 0]"
7/10/2019,"[1, 547, 548, 549, 84, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 550, 551, 552, 46, 553, 554, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 355, 27, 555, 556, 557, 558, 559, 560, 355, 66, 197, 197, 561, 562]","[1, 585, 224, 237, 586, 587, 588, 589, 590, 591, 592, 2, 0, 0, 0]","[1, 593, 334, 594, 179, 595, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 480, 67, 596, 55, 346, 597, 598, 24, 67, 2, 0, 0, 0, 0]","[1, 115, 336, 599, 600, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 601, 602, 203, 603, 13, 545, 152, 2, 0, 0, 0, 0, 0, 0]","[1, 604, 605, 606, 607, 608, 28, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 610, 81, 611, 306, 612, 212, 213, 2, 0, 0, 0, 0, 0, 0]"
8/10/2019,"[1, 613, 614, 615, 617, 618, 620, 418, 615, 2, 0, 0, 0, 0, 0]","[1, 621, 622, 352, 355, 27, 623, 67, 282, 411, 418, 624, 119, 2, 0]","[1, 625, 626, 13, 627, 628, 629, 630, 631, 632, 539, 2, 0, 0, 0]","[1, 602, 633, 634, 635, 636, 637, 638, 639, 2, 0, 0, 0, 0, 0]","[1, 23, 94, 640, 83, 28, 641, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 642, 28, 472, 518, 637, 503, 643, 55, 644, 2, 0, 0, 0, 0]","[1, 323, 645, 646, 647, 5, 648, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 67, 649, 483, 650, 480, 481, 2, 0, 0, 0, 0, 0]","[1, 57, 645, 126, 27, 366, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 651, 652, 653, 562, 67, 126, 148, 654, 2, 0, 0, 0]"
9/10/2019,"[1, 655, 555, 656, 657, 658, 5, 659, 660, 661, 5, 662, 655, 663, 7]","[1, 683, 357, 684, 130, 82, 686, 687, 2, 0, 0, 0, 0, 0, 0]","[1, 688, 689, 383, 490, 690, 691, 692, 5, 3, 2, 0, 0, 0, 0]","[1, 23, 692, 657, 693, 694, 695, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 696, 697, 698, 339, 340, 86, 169, 119, 2, 0, 0, 0, 0]","[1, 23, 137, 695, 237, 694, 700, 94, 701, 42, 688, 702, 703, 2, 0]","[1, 162, 704, 79, 416, 5, 705, 43, 706, 707, 120, 708, 709, 710, 711]","[1, 713, 714, 277, 715, 716, 3, 717, 718, 237, 719, 720, 2, 0, 0]","[1, 318, 471, 721, 722, 723, 84, 724, 5, 5, 725, 2, 0, 0, 0]","[1, 491, 726, 176, 13, 727, 728, 2, 0, 0, 0, 0, 0, 0, 0]"
10/10/2019,"[1, 427, 729, 730, 731, 4, 732, 731, 74, 566, 733, 683, 2, 0, 0]","[1, 734, 735, 62, 112, 736, 737, 552, 738, 48, 739, 740, 741, 742, 23]","[1, 743, 5, 349, 290, 744, 745, 746, 321, 747, 748, 5, 749, 750, 510]","[1, 756, 757, 758, 759, 760, 5, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 761, 762, 176, 763, 86, 166, 305, 13, 2, 0, 0, 0, 0, 0]","[1, 176, 764, 765, 766, 767, 768, 769, 355, 770, 2, 0, 0, 0, 0]","[1, 771, 772, 593, 595, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 220, 221, 773, 774, 775, 776, 5, 627, 34, 2, 0, 0, 0, 0]","[1, 713, 714, 155, 777, 45, 518, 3, 778, 5, 2, 0, 0, 0, 0]","[1, 779, 296, 635, 780, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
