date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
1/10/2019,"[1, 7561, 30, 29304, 339, 340, 2840, 55, 549, 84, 197, 21118, 2305, 5740, 7890]","[1, 5165, 186, 3774, 2670, 1621, 237, 15787, 2860, 1018, 496, 839, 2705, 1414, 9949]","[1, 120, 121, 43, 122, 123, 124, 125, 67, 126, 17401, 1001, 29305, 214, 2705]","[1, 5, 24, 58, 3675, 5526, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 29306, 4785, 3353, 29307, 10044, 6660, 1010, 49, 5, 1541, 29308, 7853, 871, 2]","[1, 8321, 1966, 334, 908, 2779, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3668, 3667, 8672, 4156, 6664, 772, 306, 378, 4974, 2, 0, 0, 0, 0]","[1, 1670, 5517, 3797, 1642, 691, 5517, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 29309, 10068, 609, 2980, 1866, 11920, 6089, 4002, 2, 0, 0, 0, 0, 0]","[1, 3154, 1587, 197, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2/10/2019,"[1, 220, 221, 5, 140, 25, 498, 5261, 563, 1159, 1101, 17898, 434, 29310, 9080]","[1, 184, 176, 352, 5, 4769, 67, 19, 33, 649, 133, 78, 1010, 99, 2]","[1, 19, 9040, 4031, 84, 3862, 105, 29312, 702, 21921, 517, 568, 383, 6440, 4432]","[1, 1979, 13, 48, 12421, 1510, 17159, 126, 48, 5306, 143, 1979, 29313, 327, 516]","[1, 676, 5, 140, 1052, 413, 4433, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1762, 3871, 1857, 2787, 628, 4635, 386, 262, 418, 1743, 585, 644, 162, 1764]","[1, 868, 1519, 67, 712, 5, 43, 122, 43, 122, 29314, 609, 7647, 1855, 67]","[1, 45, 10490, 84, 43, 84, 1642, 105, 155, 3773, 13, 1642, 1010, 10149, 1812]","[1, 366, 203, 84, 1262, 691, 3524, 2969, 34, 1414, 320, 2831, 3345, 702, 338]","[1, 23, 197, 1725, 198, 293, 201, 5, 47, 2, 0, 0, 0, 0, 0]"
3/10/2019,"[1, 10889, 192, 2133, 20135, 297, 3096, 1864, 192, 6341, 31138, 1423, 1344, 536, 683]","[1, 548, 2766, 84, 1826, 237, 84, 2964, 2, 0, 0, 0, 0, 0, 0]","[1, 1012, 130, 1080, 431, 5, 680, 635, 3741, 1169, 1199, 517, 2859, 2, 0]","[1, 5, 325, 326, 327, 328, 329, 6, 56, 5047, 13595, 12647, 1158, 2, 0]","[1, 20385, 481, 4935, 647, 24, 3376, 2705, 2, 0, 0, 0, 0, 0, 0]","[1, 1068, 6295, 132, 645, 26, 51, 2, 1483, 149, 119, 2, 0, 0, 0]","[1, 13, 371, 1813, 29320, 29321, 10966, 13015, 90, 2246, 4800, 3643, 17605, 1353, 1052]","[1, 79, 430, 683, 846, 25819, 1118, 4907, 1281, 2, 0, 0, 0, 0, 0]","[1, 84, 609, 2740, 5756, 183, 609, 548, 366, 29323, 2, 0, 0, 0, 0]","[1, 305, 8604, 2518, 3297, 28, 911, 29324, 357, 687, 28, 386, 43, 1402, 105]"
4/10/2019,"[1, 411, 4603, 4094, 1158, 22091, 1813, 29326, 29321, 10966, 13015, 90, 2246, 4800, 3643]","[1, 1865, 4356, 29327, 29328, 4776, 1010, 779, 672, 3356, 1653, 4585, 2044, 4219, 128]","[1, 335, 336, 337, 126, 176, 338, 339, 340, 5, 119, 177, 152, 795, 84]","[1, 5, 376, 377, 378, 379, 119, 1693, 910, 378, 1507, 378, 80, 1288, 2]","[1, 126, 27, 1041, 48, 3368, 1763, 743, 355, 94, 3368, 177, 836, 1103, 24941]","[1, 3298, 94, 5943, 84, 155, 674, 29216, 29334, 749, 6699, 3990, 820, 759, 105]","[1, 3298, 12421, 587, 203, 13, 352, 94, 2812, 15781, 9549, 23078, 2479, 3494, 29216]","[1, 6407, 4450, 607, 64, 40, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 357, 539, 5772, 12421, 18138, 2368, 1711, 5, 382, 18138, 1855, 67, 1833, 386]","[1, 169, 708, 999, 3740, 29337, 2232, 7864, 1020, 1169, 2826, 1440, 67, 14363, 5248]"
5/10/2019,"[1, 1762, 14, 5, 277, 20102, 1437, 2554, 3298, 118, 1176, 1298, 16916, 29338, 20102]","[1, 393, 919, 423, 296, 61, 2165, 181, 8545, 393, 12421, 3087, 416, 801, 61]","[1, 5, 1166, 619, 201, 3446, 683, 718, 406, 268, 527, 4601, 999, 752, 3718]","[1, 1743, 10992, 306, 2941, 179, 6364, 414, 415, 1303, 1762, 306, 644, 4448, 4841]","[1, 2012, 3479, 5, 2670, 1813, 29339, 29321, 10966, 13015, 90, 2246, 4800, 3643, 17605]","[1, 159, 110, 111, 383, 813, 6, 67, 875, 67, 339, 434, 383, 2904, 8640]","[1, 3, 24, 1495, 58, 435, 2166, 24, 10737, 74, 9197, 1454, 2, 0, 0]","[1, 183, 13, 354, 2516, 1018, 548, 10018, 29340, 1174, 29341, 2, 0, 0, 0]","[1, 9656, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2452, 29342, 2232, 84, 55, 3492, 6767, 2577, 2, 0, 0, 0, 0, 0]"
6/10/2019,"[1, 220, 221, 2471, 127, 674, 5, 140, 25, 126, 1979, 12421, 3986, 1813, 9822]","[1, 933, 615, 83, 1207, 2896, 674, 140, 2, 0, 0, 0, 0, 0, 0]","[1, 9, 2748, 23, 22, 6949, 133, 22667, 1010, 22, 6, 415, 566, 2, 0]","[1, 29345, 452, 237, 676, 1681, 542, 977, 28, 1189, 4151, 2, 0, 0, 0]","[1, 1158, 8165, 29346, 2584, 2321, 1670, 377, 435, 2, 0, 0, 0, 0, 0]","[1, 6, 67, 126, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3154, 2461, 2720, 1671, 5963, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1298, 850, 157, 5121, 910, 517, 307, 24, 2766, 212, 140, 2, 0, 0]","[1, 471, 1891, 28, 2518, 461, 811, 2518, 7511, 2518, 1766, 2, 0, 0, 0]","[1, 304, 471, 23, 338, 15577, 833, 471, 1955, 2, 0, 0, 0, 0, 0]"
7/10/2019,"[1, 5, 25, 498, 220, 221, 645, 2883, 637, 684, 2581, 5, 25, 498, 794]","[1, 619, 149, 352, 5, 952, 661, 3356, 3226, 670, 1100, 149, 5341, 1238, 406]","[1, 29347, 1852, 4996, 220, 221, 1462, 686, 1569, 703, 381, 12421, 1463, 12911, 702]","[1, 467, 468, 469, 470, 471, 28, 472, 2, 0, 0, 0, 0, 0, 0]","[1, 115, 336, 599, 600, 5, 29348, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 220, 221, 5, 498, 883, 132, 500, 2, 0, 0, 0, 0, 0, 0]","[1, 547, 1088, 4544, 4718, 237, 1817, 140, 1088, 1507, 16766, 12840, 6130, 633, 93]","[1, 4725, 4726, 1692, 28, 15944, 4443, 3078, 6197, 2, 0, 0, 0, 0, 0]","[1, 28, 353, 1277, 2872, 820, 8327, 2921, 26034, 4759, 81, 2, 0, 0, 0]","[1, 1576, 9644, 566, 55, 1262, 3878, 6364, 395, 2, 0, 0, 0, 0, 0]"
8/10/2019,"[1, 625, 4260, 2015, 84, 627, 628, 5113, 1463, 83, 733, 29349, 386, 2756, 11055]","[1, 6132, 2998, 3104, 809, 29352, 1252, 1699, 12229, 119, 268, 177, 3104, 5733, 775]","[1, 7012, 5, 1031, 2949, 3396, 856, 77, 1040, 3328, 1118, 169, 149, 582, 1031]","[1, 758, 224, 392, 176, 383, 5, 2244, 788, 951, 2, 0, 0, 0, 0]","[1, 1333, 28, 85, 2822, 20385, 141, 8673, 547, 17415, 14828, 28, 227, 4486, 141]","[1, 312, 392, 587, 792, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 942, 213, 816, 2753, 2516, 29353, 354, 3, 2, 0, 0, 0, 0, 0]","[1, 1576, 4447, 29354, 10684, 3900, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 602, 633, 634, 635, 636, 637, 638, 639, 2, 0, 0, 0, 0, 0]","[1, 1889, 599, 483, 480, 481, 650, 485, 857, 3801, 1084, 1085, 2, 0, 0]"
9/10/2019,"[1, 295, 184, 20230, 176, 7462, 1316, 431, 1624, 176, 2934, 8960, 9344, 1624, 1181]","[1, 5, 43, 609, 1284, 1937, 1492, 2176, 2550, 6, 1601, 153, 2, 0, 0]","[1, 471, 953, 84, 229, 391, 29356, 518, 4818, 585, 29357, 14200, 461, 3050, 2]","[1, 5, 2135, 67, 619, 2362, 2085, 1962, 1006, 4794, 266, 1264, 833, 566, 836]","[1, 1716, 5981, 2710, 2844, 84, 20385, 999, 392, 2710, 2844, 7100, 672, 566, 5903]","[1, 3, 696, 697, 698, 339, 340, 86, 169, 119, 2, 0, 0, 0, 0]","[1, 423, 296, 780, 17448, 29359, 1005, 779, 556, 1316, 993, 507, 194, 3184, 1110]","[1, 8451, 443, 2119, 84, 197, 5189, 55, 24, 29361, 31138, 1601, 956, 1184, 179]","[1, 1013, 203, 13, 383, 1980, 3, 939, 2, 0, 0, 0, 0, 0, 0]","[1, 655, 555, 656, 657, 658, 5, 659, 660, 2, 0, 0, 0, 0, 0]"
10/10/2019,"[1, 756, 757, 758, 759, 760, 5, 1714, 758, 3948, 73, 1414, 84, 152, 758]","[1, 5, 57, 562, 6, 366, 12512, 344, 48, 169, 791, 411, 1571, 48, 1763]","[1, 953, 1120, 4601, 84, 229, 2900, 696, 697, 518, 674, 794, 674, 29363, 1924]","[1, 1557, 1284, 261, 5, 140, 25, 10482, 186, 471, 59, 31, 1366, 1367, 261]","[1, 220, 221, 773, 774, 775, 776, 5, 627, 34, 411, 836, 84, 3299, 15712]","[1, 8854, 352, 2631, 6, 586, 140, 74, 708, 1557, 873, 268, 71, 177, 80]","[1, 430, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 694, 6560, 23, 94, 2557, 5, 7122, 29365, 411, 12075, 2557, 23, 1001, 6226]","[1, 5497, 471, 953, 84, 229, 4653, 1154, 1346, 144, 11390, 13764, 29366, 1541, 4015]","[1, 779, 94, 1565, 1648, 10109, 3883, 296, 84, 296, 749, 545, 3883, 8151, 2589]"
