date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
1/10/2019,"[1, 489, 2203, 28, 2047, 67, 649, 677, 952, 1297, 1436, 3, 28, 9197, 1894]","[1, 3, 2598, 788, 7938, 2631, 67, 471, 2585, 715, 2430, 203, 34, 821, 1512]","[1, 9252, 1263, 159, 568, 12421, 397, 1395, 2, 0, 0, 0, 0, 0, 0]","[1, 564, 1979, 4, 1817, 788, 12421, 13864, 3344, 39776, 1018, 86, 645, 5755, 2830]","[1, 3, 2710, 2844, 31138, 11886, 2, 594, 148, 67, 67, 384, 152, 12421, 635]","[1, 3, 451, 1534, 471, 82, 222, 63, 10111, 1169, 4, 1159, 92, 39290, 740]","[1, 471, 2133, 1671, 140, 994, 5624, 2227, 1342, 908, 1090, 3125, 719, 620, 839]","[1, 487, 237, 30, 166, 2528, 492, 67, 773, 8718, 2, 0, 0, 0, 0]","[1, 37, 699, 1724, 6080, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1298, 2133, 268, 1682, 3201, 24, 3, 1999, 21507, 162, 1967, 11496, 868, 478]"
2/10/2019,"[1, 12406, 1133, 20059, 1457, 853, 3, 28, 36911, 3343, 11694, 82, 2474, 39777, 1462]","[1, 212, 1885, 3912, 435, 4602, 212, 3912, 39778, 683, 461, 6630, 2066, 20170, 7839]","[1, 3041, 237, 3042, 3, 143, 12406, 152, 155, 9510, 20073, 2753, 8434, 517, 2936]","[1, 117, 970, 2705, 66, 7491, 461, 765, 99, 1161, 31138, 1553, 15419, 25180, 1161]","[1, 7485, 1682, 634, 36911, 4028, 430, 49, 791, 1622, 2395, 4027, 6597, 3156, 6911]","[1, 144, 12369, 336, 3949, 166, 84, 600, 217, 3, 660, 3184, 987, 493, 144]","[1, 5511, 3622, 637, 84, 1974, 1961, 214, 1693, 3356, 637, 84, 1974, 1961, 3950]","[1, 731, 21685, 1272, 2271, 975, 3, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1206, 868, 7082, 237, 1940, 10071, 66, 868, 86, 169, 2, 0, 0, 0]","[1, 423, 296, 8688, 2571, 79, 20658, 3538, 379, 912, 3607, 476, 342, 2, 0]"
3/10/2019,"[1, 2858, 1996, 1260, 851, 1182, 2589, 2278, 3252, 267, 277, 3989, 836, 168, 518]","[1, 3, 1303, 62, 339, 340, 22447, 2078, 1213, 3237, 39787, 36554, 81, 277, 476]","[1, 1249, 3, 1967, 942, 31006, 2255, 1249, 2705, 74, 527, 277, 2469, 523, 794]","[1, 2247, 162, 183, 2562, 4927, 1751, 84, 951, 1888, 6446, 236, 5801, 555, 84]","[1, 14567, 4477, 6866, 4453, 67, 649, 307, 19, 749, 13769, 3, 155, 2530, 79]","[1, 904, 1293, 2717, 942, 4460, 8339, 3914, 5013, 39799, 14601, 3914, 22675, 1310, 21770]","[1, 9728, 11163, 12421, 183, 38247, 15577, 2969, 131, 44, 2, 0, 0, 0, 0]","[1, 471, 11748, 634, 1682, 36, 3140, 4, 11681, 8014, 2396, 3576, 1301, 72, 418]","[1, 19408, 1845, 8763, 39801, 11333, 782, 237, 713, 2, 0, 0, 0, 0, 0]","[1, 3, 47, 523, 28, 1248, 5645, 2, 0, 0, 0, 0, 0, 0, 0]"
4/10/2019,"[1, 868, 12421, 1355, 871, 1676, 162, 1154, 39802, 686, 4817, 731, 5048, 2195, 2705]","[1, 393, 394, 201, 423, 296, 13, 461, 88, 84, 89, 1405, 296, 664, 13]","[1, 63, 183, 61, 1303, 4516, 7157, 451, 1263, 63, 144, 514, 1109, 160, 1090]","[1, 696, 39804, 1500, 4, 39805, 2181, 7618, 39806, 277, 39807, 1686, 5125, 39804, 9008]","[1, 3, 5, 31, 1888, 7725, 39808, 1018, 418, 159, 131, 5, 5783, 7628, 586]","[1, 39809, 564, 62, 268, 13578, 1154, 1940, 1624, 3815, 42, 706, 2227, 1713, 607]","[1, 456, 564, 1169, 10209, 691, 13355, 418, 2, 0, 0, 0, 0, 0, 0]","[1, 1840, 944, 616, 4477, 34470, 2328, 1652, 2779, 2203, 183, 2431, 34445, 6758, 10284]","[1, 1169, 20376, 84, 194, 2934, 20790, 195, 3819, 260, 29653, 3819, 2, 0, 0]","[1, 6841, 788, 1191, 2198, 549, 192, 3137, 788, 3, 2, 0, 0, 0, 0]"
5/10/2019,"[1, 84, 12307, 1089, 904, 3232, 987, 4163, 7702, 2973, 1118, 3395, 594, 1010, 1414]","[1, 77, 3, 152, 435, 5646, 8559, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 5306, 22553, 3576, 36, 2897, 880, 1561, 15548, 1305, 266, 1010, 83, 2079, 24079]","[1, 722, 788, 954, 718, 411, 15044, 1010, 1894, 1622, 61, 268, 80, 723, 1040]","[1, 471, 2605, 7532, 1272, 412, 634, 1174, 2968, 12819, 471, 2964, 620, 66, 755]","[1, 3, 1020, 16751, 1495, 58, 435, 2166, 2103, 2, 0, 0, 0, 0, 0]","[1, 86, 353, 658, 4, 1154, 1346, 12392, 868, 4995, 1154, 704, 105, 1725, 447]","[1, 1561, 430, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1169, 20376, 84, 194, 2934, 20790, 195, 3819, 260, 29653, 3819, 2, 0, 0]","[1, 6841, 788, 1191, 2198, 549, 192, 3137, 788, 3, 2, 0, 0, 0, 0]"
6/10/2019,"[1, 212, 1885, 3912, 435, 4602, 212, 3912, 39778, 683, 277, 105, 1642, 1136, 87]","[1, 3, 1181, 1219, 2589, 3536, 1414, 5502, 1214, 7329, 1642, 1277, 144, 9210, 7275]","[1, 2604, 2320, 2626, 988, 368, 410, 1020, 568, 2848, 312, 5938, 2347, 5206, 988]","[1, 5945, 595, 327, 5945, 4153, 811, 670, 1687, 151, 812, 277, 3356, 583, 8186]","[1, 39817, 2843, 5478, 843, 2858, 838, 7150, 2705, 24749, 1603, 67, 268, 39818, 739]","[1, 81, 1341, 84, 951, 461, 4190, 411, 155, 1875, 25979, 7885, 753, 30, 1676]","[1, 77, 183, 13, 1857, 237, 357, 152, 2, 0, 0, 0, 0, 0, 0]","[1, 602, 203, 36, 55, 197, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1169, 20376, 84, 194, 2934, 20790, 195, 3819, 260, 29653, 3819, 2, 0, 0]","[1, 6841, 788, 1191, 2198, 549, 192, 3137, 788, 3, 2, 0, 0, 0, 0]"
7/10/2019,"[1, 212, 1885, 3912, 435, 4602, 212, 3912, 39778, 683, 5954, 620, 1534, 7892, 517]","[1, 1576, 9644, 566, 55, 1262, 3878, 6364, 395, 749, 839, 1894, 418, 1001, 1316]","[1, 9295, 8421, 3386, 1262, 20194, 3347, 84, 55, 3, 839, 9600, 555, 20031, 39825]","[1, 20720, 658, 430, 5929, 3703, 5945, 788, 6050, 20720, 3287, 1219, 2779, 5945, 9071]","[1, 2246, 39827, 155, 6042, 777, 74, 810, 3, 683, 568, 4532, 2765, 2766, 5011]","[1, 3855, 3, 377, 197, 517, 7157, 451, 9860, 46, 553, 430, 1642, 2181, 568]","[1, 3, 1351, 561, 15925, 20952, 264, 15925, 716, 277, 2198, 237, 162, 277, 2198]","[1, 26155, 481, 22374, 31138, 833, 5943, 23114, 2557, 2927, 1637, 3083, 3887, 1787, 1236]","[1, 224, 975, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 20092, 62, 7839, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8/10/2019,"[1, 713, 731, 1018, 2503, 144, 18370, 664, 26873, 11333, 1725, 873, 1118, 22868, 568]","[1, 212, 1885, 3912, 435, 4602, 212, 3912, 39778, 683, 89, 19286, 833, 66, 16151]","[1, 19429, 9260, 1683, 20198, 20199, 20200, 2885, 1213, 674, 1717, 148, 2908, 2885, 2395]","[1, 722, 1652, 1338, 1272, 28, 2219, 1096, 3372, 20092, 718, 7836, 1161, 31138, 2]","[1, 7839, 1169, 3, 1752, 2227, 25212, 75, 6842, 633, 5646, 637, 6499, 698, 7839]","[1, 3, 1023, 3206, 6605, 568, 7157, 451, 1447, 397, 1005, 267, 162, 1324, 418]","[1, 743, 13932, 94, 39839, 1323, 28, 6441, 8714, 15874, 926, 2591, 4225, 523, 6304]","[1, 34507, 471, 4887, 904, 7971, 11574, 36, 850, 1844, 23867, 2, 0, 0, 0]","[1, 212, 62, 39840, 1169, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 20720, 1618, 550, 25, 2061, 2133, 5945, 658, 550, 2088, 430, 407, 143, 5945]"
9/10/2019,"[1, 212, 1885, 3912, 435, 4602, 212, 3912, 39778, 683, 5938, 1312, 597, 672, 2980]","[1, 713, 1018, 99, 1384, 587, 5561, 16118, 11333, 4227, 1384, 4128, 16118, 224, 13237]","[1, 713, 4971, 2135, 430, 18190, 471, 1284, 456, 144, 704, 5672, 3674, 704, 523]","[1, 203, 1859, 4028, 4028, 5585, 1624, 1971, 7839, 31138, 1588, 1589, 352, 39851, 2358]","[1, 89, 19286, 290, 7622, 269, 2610, 639, 801, 221, 10979, 656, 105, 20255, 2790]","[1, 713, 714, 1018, 16118, 8014, 11333, 3206, 2113, 224, 3817, 397, 14546, 1219, 6111]","[1, 736, 1976, 16, 39855, 627, 386, 731, 5, 1013, 1018, 5292, 692, 4028, 759]","[1, 7839, 1169, 1859, 1534, 4028, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 212, 1817, 1043, 1214, 25, 3024, 658, 217, 6226, 1547, 9407, 836, 7157]","[1, 876, 39856, 39857, 414, 296, 13649, 4602, 151, 5095, 873, 39858, 457, 704, 17380]"
10/10/2019,"[1, 212, 1885, 3912, 435, 4602, 212, 3912, 39778, 683, 427, 731, 732, 731, 31138]","[1, 427, 729, 352, 4, 732, 20238, 2158, 1682, 759, 34, 3395, 460, 732, 2105]","[1, 4, 126, 1622, 1669, 3, 290, 2139, 1112, 2139, 3681, 2580, 5276, 5464, 8515]","[1, 3, 12727, 732, 1557, 25, 498, 187, 67, 39860, 25, 498, 2, 0, 0]","[1, 1260, 10220, 1123, 336, 774, 556, 39861, 2, 0, 0, 0, 0, 0, 0]","[1, 2246, 6084, 7062, 2274, 698, 1129, 620, 4764, 478, 411, 71, 2779, 11685, 1129]","[1, 201, 4028, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 637, 1196, 34470, 1169, 2962, 2135, 1878, 15420, 86, 34470, 868, 21, 34530, 2927]","[1, 427, 731, 732, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2584, 6576, 1381, 36057, 3940, 1328, 4696, 1512, 2691, 368, 5562, 7391, 1698, 518]"
