date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
1/10/2019,"[1, 67, 46080, 1169, 4, 308, 1219, 12396, 5134, 5292, 91, 957, 1010, 11187, 11346]","[1, 212, 1885, 3912, 435, 1008, 418, 1821, 676, 3028, 39538, 3552, 2834, 10813, 670]","[1, 3, 451, 1534, 471, 82, 222, 63, 10111, 1169, 4, 1159, 2, 0, 0]","[1, 4824, 1926, 72, 702, 3201, 5, 4140, 174, 2, 0, 0, 0, 0, 0]","[1, 430, 40006, 2631, 67, 126, 3402, 84, 799, 90, 381, 2, 0, 0, 0]","[1, 471, 28, 5054, 868, 141, 437, 740, 497, 1111, 9260, 1297, 1362, 517, 6033]","[1, 3, 451, 1534, 471, 82, 222, 63, 10111, 1169, 4, 1159, 2, 0, 0]","[1, 46083, 28, 3323, 46084, 339, 434, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 16617, 197, 633, 735, 4, 55, 140, 456, 2, 0, 0, 0, 0, 0]","[1, 446, 237, 28, 1845, 339, 434, 1435, 7042, 560, 308, 1425, 1422, 82, 3883]"
2/10/2019,"[1, 12406, 1133, 20059, 1457, 853, 3, 28, 46085, 1008, 3061, 152, 12406, 1096, 6442]","[1, 20826, 12421, 1353, 24, 277, 3128, 24, 817, 192, 1803, 645, 2069, 1979, 2]","[1, 1169, 7327, 263, 1553, 2181, 3948, 263, 406, 15908, 4547, 1283, 81, 2579, 463]","[1, 3, 57, 645, 67, 38253, 38, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 212, 1885, 3912, 435, 12406, 2842, 20059, 942, 3, 277, 14299, 3, 908, 1342]","[1, 290, 1423, 942, 2047, 2590, 2748, 1536, 2430, 2, 0, 0, 0, 0, 0]","[1, 117, 970, 1500, 461, 3293, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 12456, 676, 451, 18173, 1193, 1500, 1699, 2, 0, 0, 0, 0, 0, 0]","[1, 34634, 17841, 2577, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 600, 3, 3501, 4278, 132, 1507, 352, 2, 0, 0, 0, 0, 0, 0]"
3/10/2019,"[1, 19406, 366, 2481, 27612, 1624, 1278, 68, 461, 660, 366, 1676, 2753, 2386, 140]","[1, 20385, 84, 413, 708, 971, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 212, 1885, 3912, 435, 999, 1169, 2801, 24, 599, 1571, 1169, 8447, 1758, 3]","[1, 7578, 5943, 12530, 3844, 2119, 143, 61, 3844, 20090, 2, 0, 0, 0, 0]","[1, 3761, 1548, 61, 89, 19286, 264, 1001, 44, 20380, 3, 334, 1759, 664, 334]","[1, 2278, 9561, 47, 2702, 819, 195, 165, 1284, 471, 2702, 3350, 83, 2702, 664]","[1, 904, 1293, 2717, 942, 4460, 8339, 3914, 5013, 942, 1150, 2717, 2044, 276, 2506]","[1, 414, 698, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 47, 523, 28, 1248, 5645, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 6092, 9538, 475, 4971, 167, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
4/10/2019,"[1, 366, 9767, 354, 368, 12462, 212, 213, 366, 660, 657, 6, 843, 1601, 645]","[1, 2181, 58, 5, 3, 491, 435, 3952, 2, 0, 0, 0, 0, 0, 0]","[1, 366, 3243, 1921, 176, 1181, 3188, 658, 103, 693, 4, 2, 0, 0, 0]","[1, 374, 12421, 4252, 8193, 372, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 634, 3, 349, 3121, 668, 1884, 12265, 2, 0, 0, 0, 0, 0, 0]","[1, 2386, 406, 1150, 392, 5, 945, 3, 4, 791, 12421, 2626, 19, 33, 12421]","[1, 277, 713, 4597, 86, 868, 46087, 1601, 2501, 658, 3137, 12421, 810, 1462, 1023]","[1, 28, 1985, 415, 4625, 715, 28, 2278, 47, 5698, 5048, 923, 635, 942, 28]","[1, 34466, 6627, 3621, 3299, 44, 378, 1833, 67, 20376, 20377, 34467, 195, 19699, 415]","[1, 23, 140, 8509, 1723, 930, 691, 1067, 3880, 8493, 2, 0, 0, 0, 0]"
5/10/2019,"[1, 3298, 94, 2812, 15781, 1843, 423, 296, 13, 1050, 4857, 1939, 3356, 6973, 1589]","[1, 4, 584, 1351, 9702, 418, 4995, 411, 92, 658, 586, 6660, 93, 1158, 4152]","[1, 176, 1331, 352, 2779, 306, 307, 2508, 267, 716, 3376, 4778, 5699, 8807, 1985]","[1, 3, 1181, 1219, 2589, 3536, 510, 7275, 431, 7275, 1652, 1214, 7329, 1414, 162]","[1, 3, 2598, 4971, 33087, 4971, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 471, 2605, 7532, 1272, 412, 634, 704, 7532, 2792, 2, 0, 0, 0, 0]","[1, 84, 12307, 1089, 904, 3232, 987, 4163, 2, 0, 0, 0, 0, 0, 0]","[1, 28442, 12559, 90, 35884, 4853, 141, 875, 2350, 1297, 46089, 2, 0, 0, 0]","[1, 736, 737, 4, 738, 923, 4603, 1342, 3418, 4, 4, 74, 5567, 561, 843]","[1, 1233, 259, 392, 4600, 1366, 452, 2, 0, 0, 0, 0, 0, 0, 0]"
6/10/2019,"[1, 411, 682, 3, 5, 830, 1159, 510, 2934, 4555, 36832, 84, 6322, 704, 1833]","[1, 3, 2061, 987, 9876, 28, 212, 213, 1621, 2061, 1247, 8346, 16782, 17, 999]","[1, 176, 6463, 2769, 1298, 301, 176, 381, 4355, 397, 17067, 2, 0, 0, 0]","[1, 39817, 2843, 5478, 843, 2858, 838, 7150, 3964, 461, 517, 10, 127, 2265, 814]","[1, 1641, 430, 431, 338, 2029, 415, 6217, 162, 308, 1219, 5444, 80, 716, 2]","[1, 3, 1232, 600, 833, 206, 28, 586, 2801, 2, 0, 0, 0, 0, 0]","[1, 77, 183, 13, 1857, 237, 357, 152, 20385, 2973, 6689, 352, 5, 386, 5]","[1, 151, 731, 384, 1725, 31308, 2013, 4801, 4, 3356, 144, 23659, 683, 1961, 861]","[1, 28, 472, 642, 264, 637, 3275, 203, 2237, 84, 2, 0, 0, 0, 0]","[1, 212, 1885, 3912, 435, 352, 31138, 19287, 430, 4, 91, 21, 2, 2705, 1184]"
7/10/2019,"[1, 1142, 568, 2676, 397, 12421, 4, 383, 2676, 397, 19055, 3206, 3, 12832, 4274]","[1, 30350, 2226, 549, 2010, 3638, 471, 542, 4790, 40829, 10848, 141, 46092, 1682, 732]","[1, 3, 1351, 561, 15925, 20952, 264, 15925, 716, 277, 2198, 237, 162, 277, 2198]","[1, 15169, 148, 297, 722, 16782, 908, 574, 2, 0, 0, 0, 0, 0, 0]","[1, 3166, 6939, 247, 34783, 39840, 555, 4252, 3650, 92, 635, 15544, 19193, 4658, 620]","[1, 183, 197, 16, 126, 4, 159, 5533, 2, 0, 0, 0, 0, 0, 0]","[1, 212, 1885, 3912, 435, 2705, 704, 277, 1280, 564, 1006, 14, 2, 0, 0]","[1, 5, 4116, 2135, 1970, 1690, 4286, 3395, 162, 794, 3356, 3554, 2560, 1437, 5879]","[1, 2133, 47, 25, 550, 1937, 9129, 430, 160, 1787, 46097, 2255, 2, 0, 0]","[1, 2779, 3, 44, 85, 2753, 13836, 415, 2715, 6070, 676, 2193, 2, 0, 0]"
8/10/2019,"[1, 89, 19286, 148, 20199, 6653, 5315, 19429, 1258, 810, 3772, 12184, 89, 19286, 90]","[1, 3, 1725, 7107, 5, 352, 1495, 132, 3162, 3163, 16251, 1351, 6282, 1994, 2506]","[1, 4028, 3926, 7062, 197, 10558, 1351, 1775, 2848, 321, 165, 3223, 4, 165, 1264]","[1, 212, 1885, 3912, 435, 28504, 28504, 28505, 28505, 46098, 22862, 46098, 22862, 887, 555]","[1, 1748, 1058, 2789, 1132, 13851, 3431, 3, 2, 0, 0, 0, 0, 0, 0]","[1, 46099, 168, 352, 5, 418, 1541, 3, 418, 4031, 7520, 1001, 7088, 2865, 3]","[1, 34507, 471, 4887, 904, 7971, 11574, 36, 850, 1844, 23867, 66, 3184, 749, 81]","[1, 2246, 39827, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 46100, 2133, 49, 4, 1315, 30, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 3983, 84, 296, 780, 29359, 29334, 1040, 15572, 1112, 921, 497, 386, 635, 2452]"
9/10/2019,"[1, 594, 1751, 1414, 432, 20232, 4028, 1139, 1283, 568, 430, 61, 1663, 594, 1154]","[1, 713, 714, 777, 45, 518, 3, 778, 809, 2779, 1342, 411, 635, 169, 3379]","[1, 1013, 692, 627, 5, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 713, 714, 277, 715, 716, 3, 717, 718, 237, 719, 720, 2, 0, 0]","[1, 212, 1885, 3912, 435, 3950, 4532, 6282, 89, 19286, 833, 547, 894, 15617, 13580]","[1, 713, 714, 1018, 16118, 8014, 11333, 3206, 2113, 4, 15456, 2705, 2, 0, 0]","[1, 505, 506, 1907, 11840, 3, 5, 296, 2, 0, 0, 0, 0, 0, 0]","[1, 952, 55, 961, 46102, 3557, 67, 474, 910, 2067, 61, 12730, 378, 3636, 820]","[1, 3, 3983, 4, 6, 24179, 22850, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 609, 46103, 177, 556, 1067, 1023, 149, 470, 55, 4560, 2, 0, 0, 0]"
10/10/2019,"[1, 3983, 427, 729, 352, 4, 732, 20238, 4, 2158, 1682, 2779, 759, 427, 434]","[1, 427, 10446, 2218, 731, 732, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 873, 418, 399, 942, 2758, 64, 10736, 13973, 1976, 2826, 431, 6, 4, 320]","[1, 1625, 1626, 17345, 2133, 727, 1821, 1894, 1895, 10144, 2, 664, 2122, 71, 708]","[1, 35046, 35047, 1736, 594, 308, 7537, 20178, 7678, 320, 4, 461, 947, 413, 81]","[1, 5416, 430, 2333, 4811, 83, 217, 1534, 471, 25, 222, 67, 354, 83, 5416]","[1, 3, 1429, 698, 3315, 35499, 4559, 78, 5268, 9425, 1429, 1481, 2, 0, 0]","[1, 948, 141, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 427, 980, 730, 731, 13, 732, 395, 2, 0, 0, 0, 0, 0, 0]","[1, 6084, 1129, 237, 3274, 304, 82, 1339, 2899, 7062, 141, 2, 0, 0, 0]"
